event_index,elapsed_s,time_ms,event,activity_label
1,0.790000,4754040.000,chew,chewing
2,2.180000,4755430.000,chew,chewing
3,2.990000,4756240.000,chew,chewing
4,3.880000,4757130.000,chew,chewing
5,4.720000,4757970.000,chew,chewing
6,5.530000,4758780.000,chew,chewing
7,6.460000,4759710.000,chew,chewing
8,7.300000,4760550.000,chew,chewing
9,8.150000,4761400.000,chew,chewing
10,8.950000,4762200.000,chew,chewing
11,9.710000,4762960.000,chew,chewing
12,10.530000,4763780.000,chew,chewing
13,11.360000,4764610.000,chew,chewing
14,12.190000,4765440.000,chew,chewing
15,13.130000,4766380.000,chew,chewing
16,14.010000,4767260.000,chew,chewing
17,14.830000,4768080.000,chew,chewing
18,15.590000,4768840.000,chew,chewing
19,16.390000,4769640.000,chew,chewing
20,17.390000,4770640.000,chew,chewing
21,18.140000,4771390.000,chew,chewing
22,19.010000,4772260.000,chew,chewing
23,19.940000,4773190.000,chew,chewing
24,20.630000,4773880.000,chew,chewing
25,21.500000,4774750.000,chew,chewing
26,22.380000,4775630.000,chew,chewing
27,23.060000,4776310.000,chew,chewing
28,23.940000,4777190.000,chew,chewing
29,24.760000,4778010.000,chew,chewing
30,25.510000,4778760.000,chew,chewing
31,26.400000,4779650.000,chew,chewing
32,27.260000,4780510.000,chew,chewing
33,28.070000,4781320.000,chew,chewing
34,28.960000,4782210.000,chew,chewing
35,29.770000,4783020.000,chew,chewing
36,30.710000,4783960.000,chew,chewing
37,31.400000,4784650.000,chew,chewing
38,32.200000,4785450.000,chew,chewing
39,33.010000,4786260.000,chew,chewing
40,33.930000,4787180.000,chew,chewing
41,34.670000,4787920.000,chew,chewing
42,35.480000,4788730.000,chew,chewing
43,36.270000,4789520.000,chew,chewing
44,37.260000,4790510.000,chew,chewing
45,38.070000,4791320.000,chew,chewing
46,38.880000,4792130.000,chew,chewing
47,39.810000,4793060.000,chew,chewing
48,40.550000,4793800.000,chew,chewing
49,41.430000,4794680.000,chew,chewing
50,42.220000,4795470.000,chew,chewing
51,43.070000,4796320.000,chew,chewing
52,44.000000,4797250.000,chew,chewing
53,44.670000,4797920.000,chew,chewing
54,45.590000,4798840.000,chew,chewing
55,46.460000,4799710.000,chew,chewing
56,47.370000,4800620.000,chew,chewing
57,48.110000,4801360.000,chew,chewing
58,48.920000,4802170.000,chew,chewing
59,49.720000,4802970.000,chew,chewing
60,50.650000,4803900.000,chew,chewing
61,51.570000,4804820.000,chew,chewing
62,52.380000,4805630.000,chew,chewing
63,53.260000,4806510.000,chew,chewing
