time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
5894240.0,-0.588867,0.976562,-1.329102,0.043966,0.02185,0.019452,-1.862793,0.205566,-0.569336,-0.029844,0.035706,-0.010925,warming_up,-,0.000,-,non_chewing
5894250.0,-0.588379,0.970215,-1.324707,0.046098,0.018386,0.017587,-1.863281,0.204102,-0.57373,-0.045032,0.042368,-0.014655,warming_up,-,0.000,-,non_chewing
5894260.0,-0.583008,0.975586,-1.32373,0.046364,0.017587,0.01279,-1.864258,0.208496,-0.572754,-0.032242,0.035706,-0.01279,warming_up,-,0.000,-,non_chewing
5894270.0,-0.585449,0.980957,-1.32959,0.049828,0.021583,0.009859,-1.860352,0.209473,-0.570801,-0.038637,0.032508,-0.011458,warming_up,-,0.000,-,non_chewing
5894280.0,-0.588867,0.972656,-1.313477,0.05196,0.028778,0.011991,-1.860352,0.212402,-0.558105,-0.022916,0.040769,-0.009593,warming_up,-,0.000,-,non_chewing
5894290.0,-0.581055,0.977539,-1.32959,0.05196,0.023182,0.007994,-1.855469,0.202148,-0.569824,-0.033041,0.033574,-0.003464,warming_up,-,0.000,-,non_chewing
5894300.0,-0.578125,0.973633,-1.328613,0.055424,0.023982,0.019185,-1.862305,0.208496,-0.577148,-0.035173,0.039969,-0.00826,warming_up,-,0.000,-,non_chewing
5894310.0,-0.57959,0.978027,-1.335449,0.04743,0.020784,0.012257,-1.86377,0.202637,-0.574707,-0.030377,0.046364,-0.00826,warming_up,-,0.000,-,non_chewing
5894320.0,-0.587891,0.973145,-1.320801,0.04823,0.030643,0.008527,-1.860352,0.209961,-0.579102,-0.03011,0.041835,-0.014123,warming_up,-,0.000,-,non_chewing
5894330.0,-0.586426,0.976074,-1.312012,0.049029,0.025847,0.015455,-1.866699,0.202148,-0.578125,-0.024781,0.049828,-0.016254,warming_up,-,0.000,-,non_chewing
5894340.0,-0.583984,0.975098,-1.32959,0.046364,0.020518,0.016521,-1.869141,0.202637,-0.564941,-0.033574,0.042634,-0.010126,warming_up,-,0.000,-,non_chewing
5894350.0,-0.57959,0.968262,-1.319336,0.041835,0.026113,0.010126,-1.859863,0.20166,-0.566895,-0.032775,0.037305,-0.015721,warming_up,-,0.000,-,non_chewing
5894360.0,-0.584473,0.975586,-1.319824,0.046897,0.015188,0.005063,-1.857422,0.213867,-0.558594,-0.03011,0.041835,-0.008793,warming_up,-,0.000,-,non_chewing
5894370.0,-0.578613,0.975586,-1.330078,0.038371,0.015988,0.016254,-1.861328,0.20459,-0.571289,-0.037305,0.041035,-0.015721,warming_up,-,0.000,-,non_chewing
5894380.0,-0.583008,0.977539,-1.318359,0.0429,0.024515,0.007994,-1.866211,0.205078,-0.566406,-0.037838,0.029844,-0.015455,warming_up,-,0.000,-,non_chewing
5894390.0,-0.574707,0.978516,-1.333496,0.041568,0.02558,0.016787,-1.859863,0.206543,-0.570801,-0.038904,0.050628,-0.01732,warming_up,-,0.000,-,non_chewing
5894400.0,-0.572754,0.976074,-1.324707,0.047697,0.030377,0.01732,-1.856445,0.205078,-0.582031,-0.022649,0.043433,-0.00906,warming_up,-,0.000,-,non_chewing
5894410.0,-0.583984,0.972656,-1.32666,0.04743,0.017587,0.014123,-1.865234,0.208984,-0.583984,-0.023982,0.054092,-0.014389,warming_up,-,0.000,-,non_chewing
5894420.0,-0.583008,0.979492,-1.312012,0.045832,0.015455,0.011458,-1.866211,0.203125,-0.575684,-0.034374,0.039969,-0.010658,warming_up,-,0.000,-,non_chewing
5894430.0,-0.590332,0.980957,-1.322266,0.045299,0.02638,0.014123,-1.865234,0.204102,-0.57373,-0.027179,0.040769,-0.010392,warming_up,-,0.000,-,non_chewing
5894440.0,-0.586914,0.975098,-1.318848,0.041835,0.02185,0.01279,-1.866211,0.210449,-0.566406,-0.037838,0.044499,-0.016521,warming_up,-,0.000,-,non_chewing
5894450.0,-0.587891,0.970215,-1.322754,0.053559,0.013856,0.00826,-1.864746,0.20459,-0.562012,-0.031709,0.042101,-0.006129,warming_up,-,0.000,-,non_chewing
5894460.0,-0.583984,0.975586,-1.330078,0.056224,0.018652,0.00826,-1.874512,0.209961,-0.577637,-0.025314,0.044766,-0.010925,warming_up,-,0.000,-,non_chewing
5894470.0,-0.58252,0.976562,-1.324707,0.052493,0.022916,0.014123,-1.861816,0.20752,-0.569336,-0.036239,0.038637,-0.005329,warming_up,-,0.000,-,non_chewing
5894480.0,-0.591309,0.979492,-1.324219,0.047697,0.033308,0.01359,-1.853516,0.210937,-0.572266,-0.027979,0.045832,-0.019718,warming_up,-,0.000,-,non_chewing
5894490.0,-0.578613,0.975098,-1.328613,0.057289,0.023449,0.019185,-1.866699,0.197754,-0.567871,-0.035173,0.039969,-0.021317,warming_up,-,0.000,-,non_chewing
5894500.0,-0.581055,0.98291,-1.322266,0.050095,0.018119,0.010392,-1.856934,0.19873,-0.575684,-0.040236,0.037571,-0.016254,warming_up,-,0.000,-,non_chewing
5894510.0,-0.581543,0.972168,-1.308594,0.045032,0.024515,0.015988,-1.866699,0.201172,-0.565918,-0.036505,0.034907,-0.00826,warming_up,-,0.000,-,non_chewing
5894520.0,-0.578613,0.972168,-1.32373,0.041302,0.017587,0.015988,-1.867676,0.199707,-0.584473,-0.03917,0.050361,-0.016787,warming_up,-,0.000,-,non_chewing
5894530.0,-0.580566,0.980957,-1.338867,0.054625,0.016787,0.002665,-1.870605,0.20752,-0.580078,-0.037571,0.038371,-0.018652,warming_up,-,0.000,-,non_chewing
5894540.0,-0.587402,0.974121,-1.320801,0.058089,0.013057,0.005329,-1.862305,0.206055,-0.564941,-0.036772,0.0437,-0.023982,warming_up,-,0.000,-,non_chewing
5894550.0,-0.583496,0.974121,-1.328125,0.042634,0.018386,0.010925,-1.861816,0.203613,-0.578613,-0.031443,0.036505,-0.008527,warming_up,-,0.000,-,non_chewing
5894560.0,-0.579102,0.97998,-1.325195,0.043966,0.031709,0.017853,-1.859863,0.203613,-0.571289,-0.022383,0.040236,-0.005596,warming_up,-,0.000,-,non_chewing
5894570.0,-0.57959,0.972168,-1.305664,0.043167,0.025314,0.015721,-1.866211,0.202637,-0.553223,-0.030643,0.045565,0.000799,warming_up,-,0.000,-,non_chewing
