time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,activity_label
5297805.0,-0.591309,1.887207,0.014648,0.011991,0.342404,0.165207,0.149902,-1.873047,0.812012,-0.007727,0.028511,-0.049562,chewing
5297815.0,-0.575684,1.890137,0.026855,0.054358,0.323752,0.127636,0.156738,-1.859863,0.819336,-0.015188,0.037571,-0.060487,chewing
5297825.0,-0.584473,1.886719,0.013184,0.131632,0.239017,0.093528,0.146973,-1.885254,0.804687,-0.053825,0.08287,-0.04823,chewing
5297835.0,-0.606934,1.835938,0.025391,0.021583,0.341338,0.095926,0.145996,-1.859375,0.830566,-0.059688,0.098058,-0.026113,chewing
5297845.0,-0.583496,1.826172,0.024414,0.103654,0.300037,0.208374,0.17334,-1.789063,0.871582,-0.037038,0.142557,-0.025314,chewing
5297855.0,-0.609863,1.848145,0.006836,0.098858,0.218766,0.177198,0.140137,-1.878418,0.811523,-0.10472,0.134031,-0.024781,chewing
5297865.0,-0.605957,1.869141,0.007324,0.116178,0.09193,0.073011,0.143066,-1.87207,0.783203,-0.085268,0.093262,0.033841,chewing
5297875.0,-0.614258,1.861328,0.014648,0.142025,-0.070879,-0.0437,0.145508,-1.883301,0.779297,-0.059688,0.047164,0.059954,chewing
5297885.0,-0.599609,1.861816,0.020508,0.154282,-0.163075,-0.133231,0.159668,-1.86377,0.80957,-0.062086,0.018119,0.050095,chewing
5297895.0,-0.597168,1.855469,-0.006348,0.123905,-0.165207,-0.16494,0.143555,-1.887207,0.810059,-0.067415,0.025314,0.044766,chewing
5297905.0,-0.619629,1.84668,0.012207,0.079939,-0.113779,-0.131366,0.14209,-1.883301,0.793945,-0.076208,0.050628,-0.007994,chewing
5297915.0,-0.632812,1.832031,0.000488,0.041035,0.002931,-0.076741,0.15918,-1.876953,0.812988,-0.092462,0.071412,-0.059954,chewing
5297925.0,-0.644043,1.831543,0.004883,0.006662,0.075942,-0.037571,0.149902,-1.867188,0.812988,-0.090597,0.091397,-0.088998,chewing
5297935.0,-0.630371,1.844238,0.010254,-0.016254,0.097525,-0.014389,0.154297,-1.876953,0.80957,-0.092196,0.092729,-0.118842,chewing
5297945.0,-0.632324,1.850586,0.019043,-0.040502,0.088732,-0.015721,0.138672,-1.866211,0.818848,-0.082337,0.093795,-0.117243,chewing
5297955.0,-0.61377,1.848633,0.029785,-0.023982,0.040236,-0.020784,0.137207,-1.864258,0.814453,-0.076208,0.066349,-0.128968,chewing
5297965.0,-0.591797,1.855469,0.017578,-0.037838,0.010126,-0.051694,0.138672,-1.872559,0.806152,-0.094328,0.053292,-0.155614,chewing
5297975.0,-0.606445,1.859375,0.007813,-0.045299,-0.08287,-0.104986,0.15625,-1.87207,0.810547,-0.135629,0.051161,-0.223562,chewing
5297985.0,-0.594727,1.851563,0.013184,-0.061286,-0.094328,-0.139626,0.177734,-1.873047,0.791504,-0.149752,0.067149,-0.33521,chewing
5297995.0,-0.594727,1.869141,0.007813,-0.081271,-0.097792,-0.227292,0.180664,-1.861328,0.783203,-0.191587,0.067681,-0.503081,chewing
5298005.0,-0.63623,1.830078,0.008301,-0.069014,-0.066349,-0.153216,0.149414,-1.848145,0.811035,-0.231289,0.10019,-0.631516,chewing
5298015.0,-0.625488,1.852539,0.008301,-0.092729,-0.028778,-0.087666,0.179199,-1.834961,0.802246,-0.211038,0.115911,-0.727975,chewing
5298025.0,-0.613281,1.878906,0.014648,-0.089531,-0.03917,-0.098325,0.115723,-1.895508,0.820801,-0.311228,0.373047,-0.696799,chewing
5298035.0,-0.607422,1.885742,0.025879,-0.087933,-0.064484,-0.12204,0.186523,-1.891113,0.788574,-0.291776,0.270992,-0.872665,chewing
5298045.0,-0.615723,1.88623,0.020508,-0.065283,-0.13936,-0.170536,0.204102,-1.864746,0.79248,-0.285914,0.255005,-0.953936,chewing
5298055.0,-0.599609,1.907227,0.039063,-0.049828,-0.190787,-0.193452,0.203125,-1.868164,0.802734,-0.493489,0.292842,-0.954202,chewing
5298065.0,-0.620605,1.886719,0.045898,0.003997,-0.254738,-0.211305,0.23877,-1.849121,0.790039,-0.441528,0.237951,-0.933418,chewing
5298075.0,-0.644531,1.867676,0.030273,0.063951,-0.283783,-0.197982,0.234863,-1.870117,0.765137,-0.411685,0.234221,-0.720781,chewing
5298085.0,-0.646973,1.876953,0.025879,0.087933,-0.266729,-0.181461,0.151855,-1.860352,0.797852,-0.339207,0.165473,-0.378377,chewing
5298095.0,-0.65625,1.869629,0.021484,0.094861,-0.233688,-0.132965,0.178711,-1.865234,0.792969,-0.319488,0.119908,-0.182793,chewing
5298105.0,-0.656738,1.868164,0.02002,0.124971,-0.2169,-0.103387,0.225098,-1.873047,0.779297,-0.332545,0.064484,-0.120974,chewing
5298115.0,-0.650391,1.858398,0.040039,0.135363,-0.207041,-0.112447,0.239746,-1.889648,0.783691,-0.348266,0.057023,-0.124971,chewing
5298125.0,-0.645508,1.866211,0.032227,0.118309,-0.217966,-0.074876,0.233887,-1.876465,0.762695,-0.305366,0.088998,-0.211038,chewing
5298135.0,-0.620605,1.869141,0.04248,0.092729,-0.208107,-0.007194,0.223633,-1.885742,0.770996,-0.265663,0.15668,-0.235819,chewing
5298145.0,-0.616211,1.868164,0.030762,0.08287,-0.222763,0.015988,0.257813,-1.882813,0.746582,-0.229424,0.134297,-0.21317,chewing
5298155.0,-0.625,1.862793,0.035645,0.057822,-0.272591,-0.014389,0.236328,-1.894531,0.736816,-0.260067,0.150285,-0.359458,chewing
5298165.0,-0.621582,1.839355,0.044434,0.057822,-0.328282,-0.038904,0.222168,-1.884766,0.755859,-0.24328,0.138294,-0.421277,chewing
5298175.0,-0.66748,1.801758,0.05127,0.041302,-0.359724,-0.122839,0.205566,-1.87207,0.753418,-0.249675,0.095127,-0.315492,chewing
5298185.0,-0.637207,1.825195,0.023926,0.021583,-0.445525,-0.181727,0.224609,-1.887695,0.76123,-0.264597,-0.010126,-0.31709,chewing
5298195.0,-0.63623,1.866211,0.035156,-0.011458,-0.438331,-0.17027,0.454102,-1.747559,0.663086,-0.342671,-0.027979,-0.199847,chewing
5298205.0,-0.620605,1.886719,0.057617,-0.074609,-0.418613,-0.090064,0.308594,-1.922363,0.719238,-0.059954,0.02558,-0.286181,chewing
5298215.0,-0.643066,1.883301,0.069336,-0.110315,-0.433534,0.032508,0.192383,-1.849609,0.797852,-0.253672,0.086067,-0.313893,chewing
5298225.0,-0.639648,1.894531,0.061523,-0.015988,-0.333078,0.142025,0.259766,-1.895996,0.736816,-0.321354,0.129234,-0.250208,chewing
5298235.0,-0.655273,1.85498,0.036621,0.001332,-0.343737,0.172668,0.284668,-1.885742,0.742187,-0.288579,0.074876,-0.197182,chewing
5298245.0,-0.660156,1.86084,0.05127,-0.005596,-0.370116,0.264864,0.283691,-1.891113,0.733887,-0.332545,0.093795,-0.237951,chewing
5298255.0,-0.675293,1.84375,0.023926,-0.002665,-0.488159,0.240882,0.276855,-1.882324,0.748047,-0.353596,0.118842,-0.316291,chewing
5298265.0,-0.611816,1.873535,0.04248,-0.031176,-0.454052,0.333877,0.24707,-1.871094,0.756836,-0.414616,0.17027,-0.366386,chewing
5298275.0,-0.679199,1.826172,0.046387,0.012257,-0.484962,0.31256,0.241699,-1.874023,0.73584,-0.447657,0.213969,-0.358925,chewing
5298285.0,-0.589355,1.886719,0.0625,0.063685,-0.514805,0.15215,0.257813,-1.889648,0.742187,-0.454585,0.23049,-0.3043,chewing
5298295.0,-0.588379,1.900879,0.047363,0.158812,-0.541985,0.058355,0.266113,-1.876953,0.726074,-0.484695,0.264331,-0.316291,chewing
5298305.0,-0.652344,1.875,0.058105,0.205176,-0.529461,0.027179,0.274902,-1.879883,0.721191,-0.522,0.2606,-0.337075,chewing
5298315.0,-0.60791,1.893066,0.05957,0.201446,-0.567032,0.013856,0.26416,-1.88623,0.724609,-0.451121,0.208374,-0.280585,chewing
5298325.0,-0.624512,1.878906,0.044922,0.164674,-0.494288,0.034907,0.292969,-1.886719,0.727539,-0.459648,0.120441,-0.288579,chewing
5298335.0,-0.630859,1.872559,0.051758,0.130034,-0.374913,0.132698,0.276855,-1.893555,0.714844,-0.43007,0.067948,-0.309363,chewing
5298345.0,-0.663574,1.852051,0.052246,0.110848,-0.285381,0.213436,0.258789,-1.892578,0.704102,-0.33521,0.049828,-0.316824,chewing
5298355.0,-0.677734,1.841309,0.049316,0.134564,-0.150285,0.212637,0.254395,-1.893066,0.70166,-0.249409,-0.023182,-0.246211,chewing
