time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1902931.0,0.058594,-1.752441,1.112305,-0.030377,0.050361,-0.117243,warming_up,0.000000,0.000,non_chewing
1902941.0,0.05957,-1.74707,1.120117,-0.033841,0.010392,-0.117776,warming_up,0.000000,0.000,non_chewing
1902951.0,0.055176,-1.744141,1.115723,-0.01279,0.006129,-0.142824,warming_up,0.000000,0.000,non_chewing
1902961.0,0.052734,-1.740234,1.125488,-0.002398,0.018386,-0.145489,warming_up,0.000000,0.000,non_chewing
1902971.0,0.056641,-1.728516,1.123047,-0.006928,0.046364,-0.121507,warming_up,0.000000,0.000,non_chewing
1902981.0,0.06543,-1.734375,1.12207,0.0,0.068214,-0.095127,warming_up,0.000000,0.000,non_chewing
1902991.0,0.055664,-1.731934,1.108887,-0.004263,0.04823,-0.071412,warming_up,0.000000,0.000,non_chewing
1903001.0,0.064453,-1.739258,1.119629,-0.005063,0.047697,-0.053292,warming_up,0.000000,0.000,non_chewing
1903011.0,0.074707,-1.760254,1.121582,-0.014123,0.049828,-0.041302,warming_up,0.000000,0.000,non_chewing
1903021.0,0.080078,-1.763672,1.122559,-0.001066,0.055424,-0.011724,warming_up,0.000000,0.000,non_chewing
1903031.0,0.073242,-1.749512,1.115234,0.014922,0.092196,-0.038904,warming_up,0.000000,0.000,non_chewing
1903041.0,0.058105,-1.745605,1.130371,0.011724,0.10845,-0.070346,warming_up,0.000000,0.000,non_chewing
1903051.0,0.048828,-1.75293,1.12793,0.005063,0.090331,-0.090597,warming_up,0.000000,0.000,non_chewing
1903061.0,0.046875,-1.753906,1.117676,0.019185,0.082337,-0.074343,warming_up,0.000000,0.000,non_chewing
1903071.0,0.039551,-1.733887,1.121582,-0.016521,0.049828,-0.084469,warming_up,0.000000,0.000,non_chewing
1903081.0,0.041992,-1.749512,1.126465,-0.016787,0.046364,-0.079406,warming_up,0.000000,0.000,non_chewing
1903091.0,0.034668,-1.74707,1.116699,-0.020518,0.052493,-0.050894,warming_up,0.000000,0.000,non_chewing
1903101.0,0.074707,-1.704102,1.126465,-0.027446,0.102855,-0.148953,warming_up,0.000000,0.000,non_chewing
1903111.0,0.035156,-1.79248,1.125977,-0.07834,0.039703,-0.043966,warming_up,0.000000,0.000,non_chewing
1903121.0,0.036621,-1.868164,1.077637,-0.057023,0.089265,-0.110049,warming_up,0.000000,0.000,non_chewing
1903131.0,0.007813,-1.687988,1.151855,-0.099391,0.05196,-0.013856,warming_up,0.000000,0.000,non_chewing
1903141.0,0.006836,-1.751953,1.104492,-0.144423,0.067948,-0.050894,warming_up,0.000000,0.000,non_chewing
1903151.0,0.108398,-1.691895,1.095215,-0.055424,0.228092,-0.088199,warming_up,0.000000,0.000,non_chewing
1903161.0,0.005859,-1.751465,1.115723,-0.050894,0.059155,0.021317,warming_up,0.000000,0.000,non_chewing
1903171.0,0.03125,-1.753906,1.119141,-0.038904,0.096992,0.021317,warming_up,0.000000,0.000,non_chewing
1903181.0,0.026367,-1.758789,1.125488,-0.03544,0.0866,0.031709,warming_up,0.000000,0.000,non_chewing
1903191.0,0.027344,-1.769043,1.110352,-0.041035,0.063418,0.015188,warming_up,0.000000,0.000,non_chewing
1903201.0,0.024414,-1.760254,1.10791,-0.036239,0.044233,-0.014655,warming_up,0.000000,0.000,non_chewing
1903211.0,0.027344,-1.754395,1.109375,-0.048496,0.065283,-0.035972,warming_up,0.000000,0.000,non_chewing
1903221.0,0.059082,-1.719727,1.12207,-0.080738,0.115378,-0.06928,warming_up,0.000000,0.000,non_chewing
1903231.0,0.002441,-1.76416,1.114746,-0.019718,0.048763,-0.034907,warming_up,0.000000,0.000,non_chewing
1903241.0,0.023437,-1.747559,1.115234,-0.053292,0.125237,-0.045299,warming_up,0.000000,0.000,non_chewing
1903251.0,0.028809,-1.708496,1.121094,-0.046897,0.118576,-0.061553,warming_up,0.000000,0.000,non_chewing
1903261.0,0.012207,-1.724609,1.128906,-0.051694,0.164141,-0.015721,warming_up,0.000000,0.000,non_chewing
1903271.0,0.016602,-1.729492,1.109375,-0.071145,0.175332,-0.001865,warming_up,0.000000,0.000,non_chewing
1903281.0,0.03418,-1.739258,1.114746,-0.049562,0.14842,-0.009593,warming_up,0.000000,0.000,non_chewing
1903291.0,0.030762,-1.73291,1.130859,-0.046098,0.116444,0.005862,warming_up,0.000000,0.000,non_chewing
1903301.0,0.041504,-1.72998,1.118164,-0.036239,0.069547,0.009859,warming_up,0.000000,0.000,non_chewing
1903311.0,0.051758,-1.724609,1.125,-0.007994,0.00826,-0.047697,warming_up,0.000000,0.000,non_chewing
1903321.0,0.021973,-1.714355,1.13623,-0.027979,0.046364,-0.013323,warming_up,0.000000,0.000,non_chewing
1903331.0,0.016602,-1.695801,1.128906,-0.037038,0.066349,-0.036772,warming_up,0.000000,0.000,non_chewing
1903341.0,0.012695,-1.707031,1.137207,-0.03464,0.071945,-0.020518,warming_up,0.000000,0.000,non_chewing
1903351.0,0.021973,-1.719238,1.133789,-0.01732,0.055691,0.00906,warming_up,0.000000,0.000,non_chewing
1903361.0,0.036133,-1.728027,1.133301,-0.018919,0.044766,-0.010925,warming_up,0.000000,0.000,non_chewing
1903371.0,0.046875,-1.746582,1.127441,-0.032242,0.050894,-0.013856,warming_up,0.000000,0.000,non_chewing
