time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,chewing_side,side_prob,true_label
3871923.0,-0.319824,-1.586426,1.298828,0.288312,-0.081538,-0.340539,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871933.0,-0.303223,-1.578125,1.287109,0.354395,-0.092729,-0.325884,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871943.0,-0.32959,-1.54834,1.288574,0.439397,-0.06555,-0.265663,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871953.0,-0.342773,-1.513672,1.278809,0.452986,-0.011191,-0.147887,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871963.0,-0.321289,-1.621094,1.243164,0.460181,0.124704,-0.095127,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871973.0,-0.333496,-1.638184,1.275879,0.369051,0.00453,0.096193,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871983.0,-0.384766,-1.591797,1.305664,0.320021,-0.053292,0.146821,warming_up,0.000000,0.000,-,0.000000,right_chewing
3871993.0,-0.391113,-1.584961,1.318848,0.237685,-0.102588,0.199314,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872003.0,-0.375488,-1.571289,1.325195,0.173467,-0.080205,0.215568,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872013.0,-0.361816,-1.554199,1.316406,0.073277,-0.114046,0.19132,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872023.0,-0.337891,-1.566895,1.322754,-0.025314,-0.114845,0.114312,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872033.0,-0.324219,-1.594727,1.311523,-0.047963,-0.085268,0.036505,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872043.0,-0.310547,-1.589355,1.308594,-0.070613,-0.037571,-0.002398,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872053.0,-0.251465,-1.622559,1.29834,-0.062619,0.028778,0.018652,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872063.0,-0.254395,-1.627441,1.303223,-0.06475,0.020784,-0.026113,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872073.0,-0.259277,-1.630371,1.297363,-0.014389,-0.040502,-0.085002,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872083.0,-0.254883,-1.603027,1.284668,0.071945,-0.154815,-0.12657,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872093.0,-0.273438,-1.574219,1.296875,0.182793,-0.293908,-0.046098,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872103.0,-0.283691,-1.567383,1.310547,0.340806,-0.496953,0.045565,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872113.0,-0.312012,-1.564941,1.292969,0.499351,-0.541985,0.249942,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872123.0,-0.388672,-1.551758,1.313477,0.572095,-0.658162,0.440995,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872133.0,-0.363281,-1.631836,1.329102,0.666689,-0.580355,0.493222,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872143.0,-0.429199,-1.612793,1.345703,0.654432,-0.460447,0.543051,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872153.0,-0.449219,-1.616211,1.321289,0.646704,-0.340006,0.483096,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872163.0,-0.436035,-1.580078,1.352051,0.547314,-0.207841,0.389835,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872173.0,-0.459961,-1.594727,1.341309,0.391966,-0.148953,0.259268,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872183.0,-0.436035,-1.554688,1.360352,0.237951,-0.055158,0.173467,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872193.0,-0.396973,-1.564453,1.362793,0.089265,0.062885,0.070346,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872203.0,-0.369629,-1.583496,1.361328,-0.031443,0.159877,-0.029311,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872213.0,-0.373047,-1.609863,1.367676,-0.145489,0.215035,-0.081005,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872223.0,-0.37207,-1.603516,1.371094,-0.219299,0.246478,-0.113247,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872233.0,-0.368164,-1.577637,1.359863,-0.266196,0.217167,-0.184392,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872243.0,-0.370117,-1.535645,1.374512,-0.285914,0.220098,-0.162542,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872253.0,-0.367676,-1.558594,1.375,-0.236619,0.170536,-0.124704,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872263.0,-0.379883,-1.509277,1.382813,-0.182793,0.132165,-0.013856,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872273.0,-0.339844,-1.48291,1.37207,-0.148153,0.114312,0.044233,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872283.0,-0.334473,-1.522949,1.359863,-0.086067,0.089798,0.078074,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872293.0,-0.339355,-1.550781,1.355957,-0.018386,0.112181,0.111115,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872303.0,-0.349121,-1.54248,1.364746,0.033308,0.115378,0.163075,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872313.0,-0.36377,-1.514648,1.351563,0.049828,0.132698,0.214236,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872323.0,-0.347168,-1.507813,1.36084,-0.07834,0.038371,0.299504,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872333.0,-0.291504,-1.569824,1.369629,-0.209972,-0.000799,0.315492,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872343.0,-0.358887,-1.506836,1.299316,-0.240349,0.00906,0.254472,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872353.0,-0.355469,-1.589355,1.318848,-0.27419,0.017054,0.264597,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872363.0,-0.37207,-1.625488,1.305176,-0.263265,0.016521,0.262998,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872373.0,-0.379883,-1.59668,1.316895,-0.302968,0.05276,0.29977,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872383.0,-0.384277,-1.581055,1.313965,-0.337874,0.09193,0.261133,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872393.0,-0.389648,-1.584473,1.335449,-0.401825,0.138827,0.219565,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872403.0,-0.396973,-1.568848,1.32959,-0.42634,0.14762,0.166539,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872413.0,-0.408691,-1.560547,1.32373,-0.442328,0.16574,0.144689,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872423.0,-0.394043,-1.563965,1.321777,-0.423942,0.152949,0.167072,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872433.0,-0.393555,-1.568848,1.333984,-0.369583,0.158279,0.203577,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872443.0,-0.403809,-1.572266,1.331055,-0.324018,0.118043,0.205709,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872453.0,-0.385254,-1.561523,1.328613,-0.318156,0.094594,0.23875,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872463.0,-0.365234,-1.584961,1.307617,-0.290977,0.103387,0.196383,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872473.0,-0.358887,-1.600098,1.317383,-0.294175,0.085801,0.133498,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872483.0,-0.349121,-1.57373,1.313965,-0.29151,0.026113,0.081271,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872493.0,-0.378906,-1.591309,1.314941,-0.237152,-0.001865,0.090864,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872503.0,-0.381836,-1.567871,1.303711,-0.195051,-0.016254,0.10392,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872513.0,-0.396973,-1.57959,1.311035,-0.16494,-0.001599,0.115378,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872523.0,-0.401855,-1.559082,1.311523,-0.128435,0.019985,0.123106,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872533.0,-0.40625,-1.572754,1.310547,-0.116711,0.041568,0.118309,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872543.0,-0.391602,-1.582031,1.301758,-0.067415,0.073277,0.107917,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872553.0,-0.413574,-1.598633,1.296387,-0.059954,0.059954,0.089531,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872563.0,-0.40332,-1.600098,1.30127,-0.044766,0.063418,0.060487,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872573.0,-0.39209,-1.585938,1.286133,-0.020784,0.075675,0.002665,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872583.0,-0.386719,-1.582031,1.310547,0.031443,0.074876,-0.039436,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872593.0,-0.408203,-1.565918,1.304199,0.089531,0.076208,-0.038104,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872603.0,-0.402344,-1.554199,1.30957,0.14389,0.081271,0.004263,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872613.0,-0.383301,-1.56543,1.302734,0.164141,0.08287,0.053825,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872623.0,-0.40332,-1.566406,1.310547,0.164674,0.091663,0.08287,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872633.0,-0.380859,-1.587402,1.307617,0.140426,0.154015,0.090597,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872643.0,-0.402832,-1.599609,1.305176,0.089798,0.14842,0.068747,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872653.0,-0.404297,-1.589355,1.30127,0.025314,0.151084,0.066882,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872663.0,-0.403809,-1.586914,1.30127,-0.09566,0.148153,0.083669,warming_up,0.000000,0.000,-,0.000000,right_chewing
3872673.0,-0.404785,-1.591309,1.311523,-0.174266,0.14389,0.089265,warming_up,0.000000,0.000,-,0.000000,right_chewing
