time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,chewing_side,side_prob,true_label
2899188.0,-0.053711,-1.749023,1.107422,0.051694,0.037038,-0.019985,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899198.0,-0.066406,-1.739258,1.103516,0.044233,0.032775,0.01732,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899208.0,-0.069824,-1.768555,1.109863,0.000799,-0.02638,0.06102,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899218.0,-0.056152,-1.782227,1.103027,-0.046897,-0.041302,0.083936,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899228.0,-0.030762,-1.756836,1.103516,-0.088998,-0.056224,0.070346,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899238.0,-0.03418,-1.730469,1.083008,-0.156147,0.024781,0.070613,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899248.0,-0.0625,-1.73877,1.095215,-0.176132,0.066616,0.110315,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899258.0,-0.037598,-1.74707,1.09082,-0.175332,0.085801,0.166806,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899268.0,-0.033691,-1.74707,1.081543,-0.227825,0.058888,0.166273,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899278.0,-0.055664,-1.752441,1.077148,-0.234487,0.075142,0.080472,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899288.0,-0.089355,-1.743164,1.086914,-0.249409,0.060221,0.019985,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899298.0,-0.088379,-1.746582,1.087891,-0.30057,0.045299,0.090597,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899308.0,-0.037598,-1.74707,1.085449,-0.355461,0.036772,0.160144,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899318.0,-0.026367,-1.758301,1.064941,-0.40076,0.067681,0.147354,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899328.0,-0.035645,-1.780762,1.075684,-0.450055,0.067681,0.10392,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899338.0,-0.058105,-1.779785,1.09375,-0.471106,0.074876,0.104187,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899348.0,-0.054199,-1.744141,1.095703,-0.489225,0.042634,0.168937,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899358.0,-0.055664,-1.75,1.080078,-0.496153,-0.017054,0.175599,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899368.0,-0.039551,-1.76123,1.053711,-0.509743,-0.042101,0.118309,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899378.0,-0.02002,-1.789063,1.06543,-0.583819,-0.021317,-0.026646,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899388.0,-0.089355,-1.75,1.076172,-0.385305,-0.03464,0.074876,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899398.0,-0.087891,-1.751953,1.071777,-0.311761,-0.074609,0.068747,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899408.0,-0.083496,-1.734863,1.068848,-0.303767,-0.065283,0.128701,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899418.0,-0.040039,-1.775879,1.070313,-0.294175,-0.062086,0.096992,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899428.0,-0.04541,-1.78125,1.047852,-0.241415,-0.046364,-0.00373,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899438.0,-0.074219,-1.78418,1.048828,-0.147087,-0.025314,-0.097525,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899448.0,-0.093262,-1.771484,1.057617,-0.081804,-0.017853,-0.064217,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899458.0,-0.085449,-1.767578,1.055176,-0.0437,0.006395,-0.050894,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899468.0,-0.071289,-1.768066,1.035156,-0.020784,0.000799,-0.058622,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899478.0,-0.067383,-1.79541,1.051758,-0.014123,0.016787,-0.04743,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899488.0,-0.053223,-1.79834,1.053223,0.036239,0.018919,-0.06102,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899498.0,-0.058594,-1.777832,1.052246,0.060487,0.015188,-0.100989,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899508.0,-0.080566,-1.766602,1.054688,0.123905,0.033574,-0.121773,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899518.0,-0.078613,-1.756836,1.064453,0.194518,0.065017,-0.113779,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899528.0,-0.062012,-1.74707,1.062988,0.27872,0.114312,-0.120708,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899538.0,-0.047852,-1.758789,1.07373,0.348799,0.149219,-0.136695,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899548.0,-0.036133,-1.780762,1.066406,0.431936,0.164407,-0.14389,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899558.0,-0.026367,-1.777832,1.041504,0.390101,0.158545,-0.101256,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899568.0,-0.030273,-1.79834,1.036133,0.249942,0.116178,-0.084202,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899578.0,-0.039551,-1.820801,1.034668,0.141758,0.026113,-0.09113,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899588.0,-0.066895,-1.826172,1.038574,0.059954,-0.021051,-0.074343,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899598.0,-0.085937,-1.800293,1.080566,0.041302,-0.032242,-0.055957,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899608.0,-0.066406,-1.752441,1.097168,-0.020518,-0.045032,0.021317,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899618.0,-0.061523,-1.745605,1.088379,-0.031176,-0.046897,0.055158,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899628.0,-0.056152,-1.749023,1.08252,-0.090331,-0.037571,0.081271,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899638.0,-0.053711,-1.771973,1.068848,-0.060221,0.003198,0.058622,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899648.0,-0.050293,-1.780762,1.057617,-0.088466,0.065017,0.03544,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899658.0,-0.054687,-1.794434,1.05127,-0.097525,0.126037,0.029844,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899668.0,-0.056152,-1.773926,1.066406,-0.079406,0.167338,-0.006395,warming_up,0.000000,0.000,-,0.000000,right_chewing
2899678.0,-0.054687,-1.749512,1.063477,-0.074343,0.189455,-0.040769,warming_up,0.000000,0.000,-,0.000000,right_chewing
