time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,chewing_side,side_prob,true_label
2762664.0,0.553711,1.670898,1.08252,-0.29524,0.120708,-0.547847,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762674.0,0.539551,1.650879,1.080566,-0.305366,0.176132,-0.518003,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762684.0,0.536621,1.692383,1.088867,-0.290444,0.155881,-0.480432,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762694.0,0.553711,1.705566,1.080566,-0.255005,0.205176,-0.454052,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762704.0,0.534668,1.653809,1.095703,-0.22596,0.272325,-0.42634,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762714.0,0.51416,1.626953,1.104492,-0.220631,0.287513,-0.289911,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762724.0,0.519531,1.64502,1.10498,-0.181994,0.282717,-0.156946,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762734.0,0.497559,1.685547,1.099121,-0.165207,0.258469,-0.109783,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762744.0,0.483398,1.699707,1.089844,-0.123106,0.234753,-0.074876,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762754.0,0.496094,1.695801,1.087891,-0.083136,0.209706,-0.003997,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762764.0,0.501953,1.734863,1.095703,-0.101789,0.214769,0.031176,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762774.0,0.510742,1.731445,1.107422,-0.072744,0.180928,0.023182,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762784.0,0.554199,1.67041,1.100586,0.001599,0.20411,0.129501,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762794.0,0.532227,1.671875,1.113281,0.03917,0.212904,0.154548,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762804.0,0.539062,1.668457,1.106934,0.026113,0.20038,0.179329,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762814.0,0.530762,1.647461,1.109863,-0.011191,0.199047,0.174,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762824.0,0.518066,1.65918,1.116699,-0.089531,0.181461,0.105519,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762834.0,0.514648,1.619629,1.099609,-0.123106,0.088998,0.014389,warming_up,0.000000,0.000,-,0.000000,left_chewing
2762844.0,0.504395,1.640625,1.103516,-0.195583,0.03011,-0.050361,warming_up,0.000000,0.000,-,0.000000,left_chewing
