time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1867800.0,0.085937,-1.780273,1.069336,-0.488692,0.663758,0.126836,warming_up,0.000000,0.000,chewing
1867810.0,0.05127,-1.76123,1.065918,-0.432202,0.568098,0.120441,warming_up,0.000000,0.000,chewing
1867820.0,0.023437,-1.720703,1.07373,-0.385038,0.482031,0.167605,warming_up,0.000000,0.000,chewing
1867830.0,0.05127,-1.755371,1.05957,-0.342937,0.400227,0.143623,warming_up,0.000000,0.000,chewing
1867840.0,0.063477,-1.787598,1.041992,-0.286181,0.326683,0.159345,warming_up,0.000000,0.000,chewing
1867850.0,0.05127,-1.785645,1.052246,-0.267528,0.281384,0.133231,warming_up,0.000000,0.000,chewing
1867860.0,0.009766,-1.762207,1.056641,-0.294175,0.241149,0.037305,warming_up,0.000000,0.000,chewing
1867870.0,0.009766,-1.751953,1.052734,-0.292309,0.281917,-0.061553,warming_up,0.000000,0.000,chewing
1867880.0,0.02002,-1.763672,1.04834,-0.266729,0.27419,-0.115378,warming_up,0.000000,0.000,chewing
1867890.0,0.016113,-1.758789,1.044922,-0.248876,0.273923,-0.216368,warming_up,0.000000,0.000,chewing
1867900.0,0.007813,-1.763184,1.047363,-0.239017,0.288046,-0.254738,warming_up,0.000000,0.000,chewing
1867910.0,0.018555,-1.785645,1.053223,-0.207308,0.326683,-0.284049,warming_up,0.000000,0.000,chewing
1867920.0,0.047363,-1.791992,1.04541,-0.199847,0.444726,-0.452453,warming_up,0.000000,0.000,chewing
1867930.0,0.036621,-1.76416,1.046387,-0.1311,0.340539,-0.298438,warming_up,0.000000,0.000,chewing
1867940.0,0.0625,-1.783203,1.030762,-0.100456,0.333877,-0.243014,warming_up,0.000000,0.000,chewing
1867950.0,0.089844,-1.804688,1.038574,0.006395,0.340006,-0.124971,warming_up,0.000000,0.000,chewing
1867960.0,0.075684,-1.784668,1.029297,0.058622,0.311495,-0.113513,warming_up,0.000000,0.000,chewing
1867970.0,0.048828,-1.777344,1.044922,0.074876,0.303234,-0.154548,warming_up,0.000000,0.000,chewing
1867980.0,0.035645,-1.775391,1.056152,0.102322,0.292842,-0.194251,warming_up,0.000000,0.000,chewing
1867990.0,0.26123,-1.79834,0.97168,0.279519,0.214769,0.150551,warming_up,0.000000,0.000,chewing
1868000.0,0.036133,-1.777344,1.053223,0.254205,0.083936,-0.074609,warming_up,0.000000,0.000,chewing
1868010.0,0.077637,-1.721191,1.071777,0.039436,-0.229957,-0.13936,warming_up,0.000000,0.000,chewing
1868020.0,0.13916,-1.76123,1.062012,-0.156147,-0.43993,-0.041568,warming_up,0.000000,0.000,chewing
