ax_mean,ax_std,ax_min,ax_max,ax_range,ax_rms,ax_energy,ax_median,ax_dominant_frequency,ax_dominant_frequency_power,ax_band_energy_0_5_3hz,ax_spectral_entropy,ay_mean,ay_std,ay_min,ay_max,ay_range,ay_rms,ay_energy,ay_median,ay_dominant_frequency,ay_dominant_frequency_power,ay_band_energy_0_5_3hz,ay_spectral_entropy,az_mean,az_std,az_min,az_max,az_range,az_rms,az_energy,az_median,az_dominant_frequency,az_dominant_frequency_power,az_band_energy_0_5_3hz,az_spectral_entropy,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_rms,gx_energy,gx_median,gx_dominant_frequency,gx_dominant_frequency_power,gx_band_energy_0_5_3hz,gx_spectral_entropy,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_rms,gy_energy,gy_median,gy_dominant_frequency,gy_dominant_frequency_power,gy_band_energy_0_5_3hz,gy_spectral_entropy,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_rms,gz_energy,gz_median,gz_dominant_frequency,gz_dominant_frequency_power,gz_band_energy_0_5_3hz,gz_spectral_entropy,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_range,acc_mag_rms,acc_mag_energy,acc_mag_median,acc_mag_dominant_frequency,acc_mag_dominant_frequency_power,acc_mag_band_energy_0_5_3hz,acc_mag_spectral_entropy,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max,gyro_mag_range,gyro_mag_rms,gyro_mag_energy,gyro_mag_median,gyro_mag_dominant_frequency,gyro_mag_dominant_frequency_power,gyro_mag_band_energy_0_5_3hz,gyro_mag_spectral_entropy,label,source_file,start_time_ms,end_time_ms
0.8682715000000001,0.0364404114167225,0.713379,0.992676,0.279297,0.8690358458064144,0.75522330129647,0.864502,1.5,4.753869856049082,8.720572163854866,0.7740758520123759,1.5766479600000003,0.025451797095851596,1.52832,1.677734,0.14941400000000016,1.576853380548607,2.48646658374757,1.57666,0.5,2.355038346235654,4.309170569997189,0.7239080592507163,1.01858642,0.028948877766393644,0.9375,1.090332,0.15283200000000008,1.0189977097777747,1.03835633253235,1.017822,1.5,6.802795853757152,12.032576899162963,0.5418035582068282,-0.064746425,0.12828846006891803,-0.448723,0.192652,0.641375,0.1437011779253566,0.020650028537134997,-0.0706125,1.5,87.27490126572899,159.0660575154829,0.5720465096103525,0.07365689999999998,0.2408344317655181,-0.366386,0.680812,1.0471979999999999,0.25184630718243617,0.06342656244143001,0.047963,1.5,322.46143599853053,729.0459467383953,0.4996872174453959,-0.01774774,0.14340486152426074,-0.50468,0.328282,0.832962,0.14449891551115532,0.020879936583900003,-0.0139895,1.5,67.35037950274743,153.24915825626607,0.6752021378813852,2.0687391484510638,0.01909327741270586,2.0099091954118227,2.144411690535425,0.13450249512360246,2.068827256581948,4.280046217576389,2.067708876413189,12.0,0.6528134412427453,0.7062665891496901,0.8408182710824037,0.2652983868837741,0.18593895094716525,0.03374217724154741,0.8404384497260938,0.8066962724845465,0.3239699485484186,0.104956527562465,0.19405137090115143,1.5,172.8006249691312,425.75806722730476,0.5698348584697419,left_chewing,left_chewing_01.csv,2768164.0,2770154.0
0.878750005,0.046800155008129785,0.713379,1.029785,0.31640599999999997,0.8799953555538149,0.7743918257962851,0.876221,1.5,7.366116723966433,17.552659601760972,0.7588303112553091,1.5615210099999999,0.0323452903761877,1.461914,1.659668,0.19775399999999999,1.5618559736675275,2.4393940824809404,1.5637210000000001,0.5,6.124674410709961,11.50535904303749,0.6731712006464448,1.03599854,0.03213772094701801,0.9375,1.135254,0.19775399999999999,1.0364968924168563,1.0743258079898,1.031738,0.5,9.252275138703238,16.064290110966255,0.49520827352765157,-0.078693065,0.1340255453299511,-0.448723,0.192652,0.641375,0.15542022159321803,0.024155445280084998,-0.0752755,1.5,90.25733598848284,172.4903765277783,0.5775480519222318,0.021817954999999997,0.2657020006432638,-0.411418,0.680812,1.09223,0.26659627961810534,0.071073576306215,-0.0019985000000000003,1.5,309.6965692695178,787.2481404865691,0.5197898782725308,0.027208500000000004,0.14955504188401675,-0.50468,0.37891,0.8835900000000001,0.15200991094392496,0.02310701302518,0.0423675,1.5,70.79216628766095,173.08256124892245,0.6525868633678521,2.0706829107352873,0.0195959040583181,2.0099091954118227,2.1500718703424777,0.14016267493065504,2.07077563156104,4.288111716267025,2.069330615467419,3.0,0.470751977378926,0.8880794125605528,0.8946498848382756,0.2902959994422983,0.18456507610942308,0.03374217724154741,0.8404384497260938,0.8066962724845465,0.34400005030738007,0.11833603461148,0.24084788791650305,1.5,160.0026526319044,383.3796031678878,0.6074907176699996,left_chewing,left_chewing_01.csv,2768664.0,2770654.0
0.894453135,0.04885049585466636,0.713379,1.029785,0.31640599999999997,0.8957861249520307,0.8024327816565751,0.893555,0.5,11.481272354698026,24.75641388687789,0.6962672878617353,1.5378247099999998,0.03902090511336072,1.447266,1.630371,0.18310500000000007,1.5383196903512775,2.36642746972245,1.5456539999999999,0.5,15.968049029866249,21.015159057616682,0.4983825131121196,1.0582910300000001,0.03199437282803181,0.991211,1.135254,0.14404300000000003,1.0587745482732007,1.1210035440711201,1.0612795,0.5,10.646603522248379,16.155731054536304,0.4344175464256813,-0.078507875,0.11632519620490384,-0.43087,0.152949,0.583819,0.1403390099335356,0.019695037709125,-0.0763415,5.0,55.61159470490501,123.1615563929936,0.5732753469735589,0.01480733,0.23573644872325344,-0.411418,0.680812,1.09223,0.23620103784357088,0.05579093027838001,0.0067945,1.5,282.87023392116583,616.01738045929,0.5383129122402406,0.034684120000000006,0.12676914071427478,-0.45725,0.391433,0.848683,0.13142831969408267,0.01727340321761,0.0314425,1.0,49.06183030790252,115.52679968577348,0.6725796982727661,2.0711249116594344,0.017475575923153415,2.0099091954118227,2.1500718703424777,0.14016267493065504,2.0711986373716416,4.289863795450145,2.070216371456671,3.0,0.5681757853509661,0.7892983755541116,0.881585203412854,0.25496602759930853,0.16658840288370505,0.03374217724154741,0.7965237319408631,0.7627815546993157,0.30456423165748636,0.092759371205115,0.1959422268874741,1.5,94.4125343903729,356.3770728248124,0.614905486896948,left_chewing,left_chewing_01.csv,2769164.0,2771154.0
0.9204418699999999,0.051930155266021495,0.716309,1.03418,0.3178710000000001,0.9219056226507407,0.84990997707505,0.9211425,0.5,18.511152270088914,29.946878839477748,0.6381188979855373,1.5093481750000002,0.04292372938741897,1.393555,1.622559,0.22900399999999999,1.5099583967514982,2.279974359920355,1.508301,0.5,18.152189962134226,26.912341375928985,0.500463529837079,1.079370155,0.03363786160282748,1.001465,1.157227,0.15576199999999996,1.0798941787221261,1.166171437237935,1.081543,1.5,7.600139237349443,17.80388963649898,0.5241227893087438,-0.10098797500000002,0.1245304352412067,-0.43087,0.141758,0.5726279999999999,0.16033215646265414,0.025706400395965005,-0.0868665,3.5,52.070955308985454,112.82643698436979,0.6046549655825828,0.03123741,0.26030011994267677,-0.411418,0.680812,1.09223,0.2621677482561118,0.06873192822568,0.010791499999999999,1.5,452.19306008782536,846.1426585221736,0.5064167453750797,0.047615535,0.17219795310545588,-0.621923,0.442594,1.064517,0.17865994018538403,0.031919374227045,0.0471635,4.0,94.94424835388175,186.90611624559233,0.6384347980822147,2.0725974524097266,0.019889054729920943,2.003939927093624,2.1500718703424777,0.1461319432488537,2.0726928798626534,4.2960557742333405,2.070994037618311,8.0,0.6255494800989502,0.48938239393934646,0.8485957141670296,0.30120120194225913,0.18877377677322774,0.06821672291308048,0.847132931158977,0.7789162082458966,0.35546828669895436,0.12635770284869,0.2528643015961146,1.5,185.7529717244427,413.4050427495831,0.5978643452256639,left_chewing,left_chewing_01.csv,2769664.0,2771654.0
0.9602318950000001,0.062394923706772604,0.716309,1.083984,0.3676750000000001,0.9622569400527412,0.9259384186796649,0.958496,0.5,21.549357649115773,47.80346579387431,0.63969385006995,1.474392095,0.04930157750240833,1.354492,1.622559,0.26806700000000006,1.4752161520749136,2.176262695342715,1.4807130000000002,0.5,16.99647313564419,31.162261799286178,0.571158578016009,1.0957080300000002,0.028938991721017174,1.024902,1.179199,0.15429700000000013,1.0960901204957145,1.2014135522483098,1.093262,0.5,4.425798109903664,11.038969073366557,0.5603072145691342,-0.10240422,0.17905216014916325,-0.957666,0.142291,1.099957,0.20626754550314017,0.04254630032789,-0.0764745,1.5,139.91895152763533,359.2741019809344,0.5672318873629256,0.00869069,0.2402430137703361,-0.411418,0.605936,1.017354,0.2404001534070434,0.05779223375813,-0.013057,1.5,507.1466120945694,790.1949891777999,0.4245454237803124,0.08514809999999999,0.1688573893139711,-0.621923,0.442594,1.064517,0.1891111230455258,0.035763016859539996,0.081671,1.5,83.46044664987106,166.6738707779972,0.5966151969693059,2.0744140718902777,0.020516447409044812,2.003939927093624,2.1500718703424777,0.1461319432488537,2.074515525675981,4.303614666270691,2.07332276488187,11.5,0.5364626893361715,0.5148167734537061,0.8508784898704099,0.3194953485585741,0.18445669734383516,0.06821672291308048,1.0063653970790132,0.9381486741659327,0.36891943693110013,0.13610155094555998,0.2904268616497847,1.5,145.28935034385185,372.8520179536233,0.613457327277406,left_chewing,left_chewing_01.csv,2770164.0,2772154.0
0.99411617,0.057846897511112036,0.855957,1.083984,0.2280270000000001,0.995797782186288,0.99161322300713,1.0073245000000002,0.5,34.181552460168646,50.87679548519945,0.48149454151932686,1.43589112,0.05159420621286464,1.331543,1.541016,0.20947300000000002,1.4368177583150863,2.06444527060959,1.440674,0.5,31.021535467187277,39.84727460284319,0.4170167057030433,1.1177881049999998,0.03132246986452338,1.058105,1.19043,0.13232500000000003,1.1182268753691735,1.250431344797905,1.109619,0.5,6.870146389352695,15.539417830383355,0.4763601015400229,-0.075119805,0.18589741820594757,-0.957666,0.341338,1.299004,0.20050145934350452,0.040200835198875,-0.051427,1.5,251.65071950026964,400.4869942404245,0.5065246686518016,0.01742402,0.20960818012126722,-0.380775,0.549446,0.930221,0.21033113332721337,0.044239185646710005,0.024115,1.5,339.65378149352284,474.5058783762345,0.4735618162002083,0.05608903,0.16673957567359077,-0.621923,0.442594,1.064517,0.17592062239018483,0.03094806538215,0.036905,7.5,83.84993492558506,156.9979454395692,0.6152201567687926,2.0751196462732993,0.019190937058988174,2.003939927093624,2.138734712761263,0.1347947856676388,2.075208384335083,4.306489838414625,2.074661468151211,7.5,1.081795534637479,0.5080585270869846,0.7953562704490209,0.28802094799001116,0.1800889217766331,0.055273243192343974,1.0063653970790132,0.9510921538866692,0.33968821914769876,0.11538808622773501,0.241308639808825,2.5,124.32018975386991,372.64856810030227,0.5933206072655548,left_chewing,left_chewing_01.csv,2770664.0,2772654.0
1.022338825,0.045814444441839255,0.855957,1.133789,0.27783199999999997,1.0233648598725165,1.0472756364218951,1.032227,0.5,17.795609562742168,25.86612469994003,0.564223044912762,1.40872806,0.04362844836624837,1.331543,1.540527,0.20898400000000006,1.4094034867766612,1.9864181885382102,1.395508,0.5,22.144718325435235,26.914021237423363,0.4352533634866769,1.132795445,0.03072656442879639,1.058105,1.19043,0.13232500000000003,1.1332120904642453,1.2841696419743451,1.138428,1.5,7.329479995644193,14.939602838870133,0.45466239968865374,-0.07681051,0.1909511369946508,-0.957666,0.341338,1.299004,0.20582077437909418,0.04236219116600999,-0.052226499999999995,1.5,264.8897933248329,415.7969027079308,0.49311437429663413,0.026750215,0.21960937768273642,-0.380775,0.549446,0.930221,0.22123257619244277,0.048943852768745,0.03504,1.5,364.17174602797104,528.878564673633,0.42602569073701446,0.03563669,0.17307490242225734,-0.621923,0.442594,1.064517,0.17670567484557478,0.03122489552263,0.0173205,4.0,102.02966597445341,211.2040934349967,0.608831513125561,2.0778552392435894,0.019521057410308656,2.003939927093624,2.139270509918276,0.13533058282465182,2.0779469355434586,4.31786346693445,2.078732393931352,7.5,0.66375774512096,0.1897063491877815,0.8410920414707493,0.299854436038217,0.1806052508804432,0.055273243192343974,1.0063653970790132,0.9510921538866692,0.3500441964343717,0.12253093945738498,0.2628417809243657,2.5,154.64176473551973,357.97613760252256,0.5523265416585944,left_chewing,left_chewing_01.csv,2771164.0,2773154.0
1.04527341,0.026311890769990288,0.87207,1.133789,0.2617189999999999,1.0456045223931083,1.09328881724892,1.048584,1.5,2.3750698435468194,5.286932147206334,0.8111396609760779,1.3874951199999999,0.02656725860595331,1.331543,1.480957,0.14941400000000016,1.3877494468576272,1.92584852725365,1.3825685,0.5,3.2973688490044406,6.735842030297971,0.6536070325703117,1.139021015,0.02569475100297287,1.070801,1.19043,0.11962900000000021,1.1393107972984085,1.298029092840735,1.143066,1.5,4.309419700014521,10.587468241146897,0.4894894620594571,-0.053512365,0.187790871021069,-0.957666,0.341338,1.299004,0.19526644475368776,0.038128984446745,-0.035972500000000004,1.5,231.231269249446,418.61507296572614,0.511597824402524,0.03115485,0.20628294948137982,-0.380775,0.470573,0.851348,0.2086223380303749,0.04352327992526,0.033441,1.5,234.4856405903063,469.1718853996599,0.4728809063096051,0.0072637649999999976,0.1345299623938094,-0.247277,0.393565,0.640842,0.13472591830696495,0.018151073063654998,-0.0081275,1.5,104.3691193230906,164.88662663254993,0.5876841512085698,2.0777168048889196,0.016103292380274487,2.024933209355311,2.139270509918276,0.11433730056296465,2.0777792080351816,4.317166437343306,2.078270283256994,8.0,0.4686773142090223,0.26403929451905817,0.8628768544148298,0.27218727402695236,0.1603665342066004,0.017015992330745803,1.0063653970790132,0.9893494047482674,0.3159166621684586,0.09980333743566,0.23781102832540513,5.5,97.83841672688112,259.40721759477987,0.5921034453843058,left_chewing,left_chewing_01.csv,2771664.0,2773654.0
1.04445799,0.024968070268242604,0.919922,1.133789,0.21386699999999992,1.0447563818459114,1.09151589740776,1.0478515000000002,1.5,1.9043089699329963,4.945938229586245,0.7441862145364023,1.380217295,0.017181748930419596,1.331543,1.431641,0.10009800000000002,1.3803242350670457,1.905294993913425,1.3806150000000001,8.0,0.7039327514996659,0.623110887377234,0.7776410393459778,1.14983401,0.01779697947012077,1.105469,1.19043,0.08496100000000006,1.1499717314051419,1.3224349830309399,1.1523435000000002,1.5,2.500858936668039,4.098520052291852,0.5998818561338719,-0.013553644999999998,0.12388363004412237,-0.298438,0.341338,0.6397759999999999,0.12462285137844906,0.015530855085695001,-0.016920499999999998,1.5,100.14323746023454,164.35119156210936,0.548054734260134,0.02462784,0.1826319034977854,-0.380775,0.470573,0.851348,0.1842849496792671,0.03396094267829,0.0330415,4.0,217.15850850247952,287.594304433072,0.503415586077506,-0.021159775000000002,0.10746588039203128,-0.247277,0.332012,0.5792889999999999,0.10952922681405634,0.011996651526484998,-0.0398365,1.5,56.37952249867185,105.30589960636385,0.6105294590054431,2.0782295028226168,0.01442248070839511,2.0350352021756284,2.139270509918276,0.10423530774264744,2.0782795467290067,4.319245874352125,2.0783311467100836,17.0,0.31516946254081174,0.21586631734967315,0.8648213948929204,0.21822842161312372,0.11774890781113305,0.017015992330745803,0.5463260926159395,0.5293101002851937,0.24796864578101402,0.061488449290469996,0.19312426818787345,3.0,46.33790281572495,126.91137974232055,0.6082374088614676,left_chewing,left_chewing_01.csv,2772164.0,2774154.0
1.04036864,0.026874145753314656,0.919922,1.133789,0.21386699999999992,1.0407156800997186,1.08308912680542,1.0407715,1.5,2.979531008184369,5.709129771115681,0.7126118849376007,1.3837402349999999,0.01598583574355044,1.336426,1.431641,0.09521500000000005,1.3838325711234993,1.914992584902275,1.381836,10.0,0.5626612647779577,0.5094090534911033,0.793752099697642,1.14913333,0.017114854791995756,1.111328,1.187988,0.07665999999999995,1.1492607747467238,1.3208003283714398,1.1499025,1.5,2.200415076728448,3.9815516290724573,0.5668492605125003,-0.03215937,0.11225566571426629,-0.330147,0.23502,0.565167,0.1167713987402309,0.01363555956375,-0.039703,1.5,74.35141488132187,127.3920003798795,0.5210701219973506,0.04530398,0.18156615155523784,-0.401559,0.470573,0.872132,0.18713288859636618,0.035018717994419996,0.051294,4.0,177.38134391691221,360.92927302487806,0.4729511547737631,-0.03014889,0.12175997288233889,-0.484429,0.332012,0.816441,0.12543702230418258,0.01573444656454,-0.0484965,1.5,68.96394381157211,109.74892898126697,0.6161718325735603,2.078137096474294,0.015107889876710122,2.0235954761080586,2.139270509918276,0.11567503381021726,2.078192012322041,4.318882040079135,2.077917468209894,17.0,0.5071897915599599,0.2328326914793527,0.83907528159199,0.21723314263618992,0.1311429977662352,0.017015992330745803,0.6317888210549472,0.6147728287242014,0.25374933324584326,0.06438872412271,0.17134803146178762,2.5,98.36757543619736,172.85563943318996,0.5844360270412748,left_chewing,left_chewing_01.csv,2772664.0,2774654.0
