time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
1028683.0,0.655762,1.932129,0.486816,1.060254,1.717884,-0.270992,0.347168,-1.695313,0.90625,-0.737302,-0.64777,2.870867,chewing,2.981000,session_20260606_122842
1028693.0,0.769043,2.026855,0.286133,1.229991,1.759985,-0.117776,0.403809,-1.791504,1.146484,-0.729841,-0.390634,2.677149,chewing,2.991000,session_20260606_122842
1028703.0,0.48877,2.029297,0.186523,1.16977,1.394132,-0.822836,0.193848,-1.682129,0.987305,-0.892916,-0.288845,2.08347,chewing,3.001000,session_20260606_122842
1028713.0,0.524902,2.0,0.223145,1.009893,1.263565,-1.038937,0.313477,-1.904297,1.083496,-0.809513,-0.282983,1.935583,chewing,3.011000,session_20260606_122842
1028723.0,0.643066,1.982422,0.20752,0.918496,1.488193,-0.830031,0.352539,-1.847656,1.010742,-0.662959,-0.114046,2.091464,chewing,3.021000,session_20260606_122842
1028733.0,0.5625,2.0,0.246582,0.904107,1.63075,-0.539853,0.308105,-1.808594,0.922852,-0.588349,0.014922,2.319289,chewing,3.031000,session_20260606_122842
1028743.0,0.539551,1.925781,0.283691,0.878793,2.040303,0.177198,0.304199,-1.800293,0.885742,-0.576625,0.388769,2.268661,chewing,3.041000,session_20260606_122842
1028753.0,0.584961,1.859863,0.290039,1.197482,2.005929,0.463112,0.306641,-1.96582,1.035156,-0.964061,0.415149,2.325418,chewing,3.051000,session_20260606_122842
1028763.0,0.553223,1.824219,0.251953,1.179629,1.843387,0.618459,0.197266,-1.907715,0.902344,-1.325384,0.781268,2.550579,chewing,3.061000,session_20260606_122842
1028773.0,0.800293,1.884277,0.191406,0.932885,1.330181,0.309896,0.134277,-1.856934,0.894531,-1.109017,0.888652,2.408554,chewing,3.071000,session_20260606_122842
1028783.0,0.688965,1.945801,0.201172,0.87453,1.119409,0.364521,0.094238,-1.70166,0.862305,-0.47377,0.87906,2.081338,chewing,3.081000,session_20260606_122842
1028793.0,0.501953,1.980469,0.262695,0.792193,0.761017,0.311495,-0.008301,-1.802734,0.935059,-0.753556,1.11781,1.799954,chewing,3.091000,session_20260606_122842
1028803.0,0.825195,2.080078,0.138672,1.054659,0.295773,-0.083403,-0.018555,-1.757813,0.893555,-0.684276,1.055458,0.838557,chewing,3.101000,session_20260606_122842
1028813.0,0.443848,1.902344,0.258301,0.857743,0.440462,0.261933,0.008789,-1.788086,0.854492,-0.789528,0.973121,0.094061,chewing,3.111000,session_20260606_122842
1028823.0,0.590332,1.967285,0.185547,0.640842,0.356793,0.179329,-0.013672,-1.87793,0.868652,-1.240383,0.778603,-0.26513,chewing,3.121000,session_20260606_122842
1028833.0,0.54541,1.855469,0.207031,0.638711,0.281651,-0.025047,-0.051758,-0.98877,0.730957,-1.259835,0.313626,0.487093,chewing,3.131000,session_20260606_122842
1028843.0,0.591309,1.825684,0.226074,0.590747,-0.09193,-0.23875,0.012695,-1.712891,0.928711,-1.007228,0.052493,0.743697,chewing,3.141000,session_20260606_122842
1028853.0,0.425293,2.025879,0.17041,0.69147,-0.279519,-0.498018,0.040527,-1.947266,0.879395,-1.134064,0.270193,1.05226,chewing,3.151000,session_20260606_122842
1028863.0,0.52002,1.868652,0.184082,0.668821,-0.295773,-0.293908,-0.066406,-1.750977,0.912109,-1.003764,-0.231289,0.933685,chewing,3.161000,session_20260606_122842
1028873.0,0.601074,1.870117,0.092285,0.893982,-0.308297,-0.169204,0.068359,-1.853027,0.82666,-0.232622,-0.330147,0.343204,chewing,3.171000,session_20260606_122842
1028883.0,0.519531,1.816895,0.153809,0.692802,-0.249675,-0.181461,0.074219,-1.84082,0.921875,-0.214769,0.248343,-0.498018,chewing,3.181000,session_20260606_122842
1028893.0,0.473145,1.855469,0.136719,0.704793,-0.336542,0.006395,-0.073242,-1.665527,0.851074,-0.241149,-0.140959,-0.236619,chewing,3.191000,session_20260606_122842
1028903.0,0.521973,1.913086,0.11377,0.470306,-0.542518,-0.094861,-0.016113,-1.750977,0.868652,-0.232089,-0.340806,0.081271,chewing,3.201000,session_20260606_122842
1028913.0,0.5625,1.904297,0.088867,0.431669,-0.750891,-0.251807,-0.023926,-1.862793,0.856934,-0.373314,-0.653632,0.339473,chewing,3.211000,session_20260606_122842
1028923.0,0.539062,1.889648,0.095703,0.353862,-0.806315,-0.434334,0.02002,-1.879883,0.875,-0.200646,-1.38374,0.909436,chewing,3.221000,session_20260606_122842
1028933.0,0.50293,1.875,0.097168,0.332279,-0.623256,-0.5649,0.04834,-1.792969,0.866211,-0.033041,-1.498851,0.915032,chewing,3.231000,session_20260606_122842
1028943.0,0.53125,1.905273,0.094238,0.251008,-0.375712,-0.348,-0.018555,-1.756836,0.860352,0.110848,-1.443694,0.818573,chewing,3.241000,session_20260606_122842
