time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
2391248.0,-0.484863,1.859375,0.659668,-0.366919,0.314959,2.057357,0.320801,-1.959961,0.568359,0.359991,2.00513,1.081571,chewing,2.950000,session_20260606_125125
2391258.0,-0.436035,1.877441,0.692383,-0.468708,0.250208,1.036539,0.276367,-1.981934,0.617676,0.318956,1.506312,1.36642,chewing,2.960000,session_20260606_125125
2391268.0,-0.39502,1.843262,0.717773,-0.162809,0.254738,0.715452,0.335449,-1.960938,0.637207,0.236352,1.128202,1.084769,chewing,2.970000,session_20260606_125125
2391278.0,-0.341309,1.797852,0.791992,0.112181,1.009093,0.323752,0.390137,-1.928711,0.657715,0.22676,1.014423,0.793792,chewing,2.980000,session_20260606_125125
2391288.0,-0.416016,1.779785,0.659668,0.179862,0.810046,0.326417,0.464355,-1.904785,0.646973,0.428205,1.274756,0.449256,chewing,2.990000,session_20260606_125125
2391298.0,-0.275879,1.947266,0.769043,0.058888,1.142858,0.603005,0.287598,-1.844238,0.674805,0.401825,1.094894,0.674949,chewing,3.000000,session_20260606_125125
2391308.0,-0.278809,2.148926,0.724121,-0.257936,0.57849,1.264631,0.274414,-1.900391,0.646973,0.311495,0.919029,0.527596,chewing,3.010000,session_20260606_125125
2391318.0,-0.396484,2.182129,0.827148,-0.585152,0.326417,1.659795,0.289063,-1.918457,0.680664,0.053292,0.540119,0.644839,chewing,3.020000,session_20260606_125125
2391328.0,-0.492676,1.874023,0.792969,-0.422876,0.103654,1.933718,0.373535,-1.908691,0.652832,0.191853,0.426606,0.695201,chewing,3.030000,session_20260606_125125
2391338.0,-0.508301,1.833984,0.771484,-0.110049,-0.288579,1.400527,0.443359,-1.797852,0.648926,0.503881,1.464478,-0.240349,chewing,3.040000,session_20260606_125125
2391348.0,-0.399902,1.937988,0.753906,-0.158279,-0.441528,1.080772,0.151367,-1.769043,0.712402,0.192119,0.807914,0.127902,chewing,3.050000,session_20260606_125125
2391358.0,-0.333008,1.999512,0.749512,-0.26966,-0.492156,0.928888,0.367676,-1.817871,0.631836,0.24328,0.828698,0.576625,chewing,3.060000,session_20260606_125125
2391368.0,-0.329102,1.961914,0.749512,-0.265397,-0.48283,0.693602,0.144043,-1.948242,0.650879,0.407954,0.409819,1.282217,chewing,3.070000,session_20260606_125125
2391378.0,-0.276367,1.90625,0.820801,0.145222,-0.684009,0.305366,0.291992,-1.983887,0.644043,0.666156,0.588083,1.13593,chewing,3.080000,session_20260606_125125
2391388.0,-0.305664,1.958984,0.730957,0.357859,-0.375179,-0.083936,0.212891,-1.871582,0.714844,0.776472,0.542784,1.069847,chewing,3.090000,session_20260606_125125
