time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
485200.0,-0.913086,1.794922,0.395996,0.107384,-0.028511,0.070879,-0.153809,-1.849609,0.850098,0.170003,0.013323,-0.178263,still,0.000000,session_20260606_121942
485210.0,-0.938477,1.78418,0.388184,0.115112,0.001066,0.052493,-0.157227,-1.838379,0.845215,0.178796,0.106319,-0.241948,still,0.010000,session_20260606_121942
485220.0,-0.941406,1.774414,0.408691,0.11298,0.02558,0.063685,-0.192871,-1.828125,0.852051,0.119908,0.176931,-0.216101,still,0.020000,session_20260606_121942
485230.0,-0.933105,1.787598,0.394043,0.145489,0.024248,0.07008,-0.174805,-1.832031,0.838867,0.058355,0.253672,-0.146288,still,0.030000,session_20260606_121942
485240.0,-0.927246,1.766113,0.395508,0.17027,0.098591,0.103387,-0.1875,-1.830566,0.847168,-0.022383,0.301636,-0.047697,still,0.040000,session_20260606_121942
485250.0,-0.897461,1.757324,0.385742,0.235819,0.112181,0.104187,-0.194824,-1.861816,0.842285,-0.070613,0.304833,0.025847,still,0.050000,session_20260606_121942
485260.0,-0.89502,1.729004,0.384766,0.23049,0.130034,0.07008,-0.196289,-1.868652,0.853027,-0.080738,0.263265,0.078606,still,0.060000,session_20260606_121942
485270.0,-0.928711,1.74707,0.380859,0.143623,0.122573,0.050894,-0.189941,-1.866699,0.853516,-0.07834,0.240616,0.061553,still,0.070000,session_20260606_121942
485280.0,-0.922852,1.763184,0.372559,0.159078,0.102588,0.006662,-0.179199,-1.850098,0.853516,-0.08287,0.259801,0.02558,still,0.080000,session_20260606_121942
485290.0,-0.878418,1.770996,0.37793,0.179862,0.058089,-0.027446,-0.211914,-1.843262,0.840332,-0.09193,0.236086,0.038104,still,0.090000,session_20260606_121942
485300.0,-0.904785,1.818848,0.373535,0.10845,-0.032775,0.030643,-0.208008,-1.844727,0.844238,-0.060221,0.154015,0.033841,still,0.100000,session_20260606_121942
485310.0,-0.902832,1.776367,0.358398,0.175332,-0.011991,0.06928,-0.207031,-1.843262,0.856934,-0.047963,0.145489,0.006928,still,0.110000,session_20260606_121942
485320.0,-0.913574,1.742188,0.369629,0.174266,0.00453,0.069813,-0.200195,-1.833984,0.854492,-0.070879,0.123639,0.001865,still,0.120000,session_20260606_121942
485330.0,-0.921875,1.740723,0.359863,0.171335,-0.015721,0.099124,-0.18457,-1.840332,0.86377,-0.077274,0.153482,-0.027979,still,0.130000,session_20260606_121942
485340.0,-0.897461,1.738281,0.350586,0.12577,-0.022116,0.015721,-0.199219,-1.845215,0.87207,-0.062619,0.13856,-0.051694,still,0.140000,session_20260606_121942
485350.0,-0.895508,1.77832,0.34082,0.071412,-0.050095,-0.058355,-0.18457,-1.835449,0.865234,-0.049296,0.092729,-0.053026,still,0.150000,session_20260606_121942
485360.0,-0.921387,1.774902,0.341309,0.002398,-0.067415,-0.075675,-0.191895,-1.850586,0.867676,-0.041835,0.060487,-0.095394,still,0.160000,session_20260606_121942
485370.0,-0.911621,1.785645,0.345703,-0.037038,-0.077541,-0.116178,-0.221191,-1.838379,0.879395,-0.023182,-0.026113,-0.072744,still,0.170000,session_20260606_121942
485380.0,-0.916016,1.773926,0.341309,-0.070879,-0.083936,-0.129234,-0.230957,-1.82373,0.861816,-0.008527,-0.118576,-0.031709,still,0.180000,session_20260606_121942
485390.0,-0.916016,1.781738,0.355957,-0.068481,-0.099124,-0.155081,-0.209473,-1.824707,0.875488,0.018386,-0.063685,-0.099391,still,0.190000,session_20260606_121942
485400.0,-0.938965,1.755371,0.347168,-0.055424,-0.123905,-0.106851,-0.177246,-1.813477,0.884766,0.025847,-0.058089,-0.103387,still,0.200000,session_20260606_121942
485410.0,-0.944336,1.751465,0.363281,-0.044499,-0.171069,-0.0866,-0.163086,-1.834961,0.885742,0.001332,0.021051,-0.166006,still,0.210000,session_20260606_121942
485420.0,-0.936035,1.73584,0.370605,-0.070613,-0.217966,-0.123905,-0.171875,-1.847168,0.868652,0.013856,0.040769,-0.165207,still,0.220000,session_20260606_121942
485430.0,-0.919434,1.780273,0.366211,-0.056757,-0.227559,-0.134297,-0.191406,-1.844238,0.876465,0.02558,0.010392,-0.184925,still,0.230000,session_20260606_121942
485440.0,-0.936035,1.805176,0.374023,-0.057289,-0.221164,-0.080738,-0.192871,-1.83252,0.862793,-0.001865,-0.017853,-0.113779,still,0.240000,session_20260606_121942
485450.0,-0.943848,1.785645,0.391113,-0.0874,-0.224628,-0.061553,-0.186035,-1.835449,0.867676,0.001332,-0.041835,-0.107917,still,0.250000,session_20260606_121942
485460.0,-0.95166,1.807617,0.376465,-0.09193,-0.26966,-0.002398,-0.181152,-1.837891,0.850586,-0.012257,-0.03544,-0.074077,still,0.260000,session_20260606_121942
485470.0,-0.950195,1.783691,0.385742,0.0,-0.270726,0.016787,-0.158203,-1.837891,0.851074,-0.001332,-0.007727,-0.079139,still,0.270000,session_20260606_121942
485480.0,-0.877441,1.749512,0.409668,-0.02185,-0.233421,-0.044499,-0.143555,-1.858887,0.848633,0.00826,0.047697,-0.122573,still,0.280000,session_20260606_121942
485490.0,-0.87793,1.748047,0.404297,-0.072744,-0.224628,-0.074876,-0.148926,-1.883789,0.854492,0.056757,0.045565,-0.158279,still,0.290000,session_20260606_121942
485500.0,-0.90625,1.746094,0.414551,-0.127902,-0.142824,-0.090064,-0.133789,-1.868652,0.85791,0.065017,0.046364,-0.200913,still,0.300000,session_20260606_121942
485510.0,-0.905762,1.776367,0.405273,-0.138827,-0.10845,-0.107384,-0.130371,-1.836914,0.86377,0.034374,0.049828,-0.216634,still,0.310000,session_20260606_121942
485520.0,-0.911133,1.808594,0.404785,-0.098591,0.009326,-0.119908,-0.169434,-1.844238,0.858398,-0.009593,0.039969,-0.189721,still,0.320000,session_20260606_121942
485530.0,-0.918945,1.80127,0.416016,0.038904,0.119908,-0.136429,-0.174316,-1.837891,0.87793,-0.028778,0.028511,-0.134297,still,0.330000,session_20260606_121942
485540.0,-0.908203,1.798828,0.387207,0.124172,0.15668,-0.130034,-0.175293,-1.851074,0.851074,-0.060487,-0.009593,-0.104986,still,0.340000,session_20260606_121942
485550.0,-0.931641,1.769531,0.382324,0.17853,0.219832,-0.121773,-0.174805,-1.865723,0.857422,-0.03917,-0.007994,-0.100723,still,0.350000,session_20260606_121942
485560.0,-0.9375,1.745117,0.398438,0.226493,0.306698,-0.120974,-0.158203,-1.85791,0.881348,0.004263,-0.040769,-0.135629,still,0.360000,session_20260606_121942
485570.0,-0.930664,1.72168,0.399902,0.302968,0.370383,-0.150018,-0.163086,-1.855957,0.849121,0.02638,-0.014123,-0.181461,still,0.370000,session_20260606_121942
485580.0,-0.962402,1.753418,0.403809,0.294708,0.331479,-0.038371,-0.142578,-1.86084,0.852051,0.047697,0.040236,-0.176398,still,0.380000,session_20260606_121942
485590.0,-0.947754,1.706543,0.397949,0.340006,0.332279,0.116178,-0.175781,-1.851074,0.844727,0.053292,0.03464,-0.183326,still,0.390000,session_20260606_121942
485600.0,-0.950684,1.71582,0.387207,0.270726,0.22676,0.212371,-0.168945,-1.876953,0.854492,0.041835,0.005862,-0.216368,still,0.400000,session_20260606_121942
485610.0,-0.920898,1.753418,0.383301,0.214769,0.197182,0.253672,-0.185547,-1.835938,0.858887,0.036239,-0.009326,-0.187856,still,0.410000,session_20260606_121942
485620.0,-0.90918,1.759277,0.377441,0.164407,0.17853,0.264331,-0.160156,-1.861816,0.852051,0.031975,-0.114046,-0.076741,still,0.420000,session_20260606_121942
485630.0,-0.888672,1.761719,0.378906,0.131366,0.158812,0.229691,-0.171387,-1.836426,0.848145,0.088732,-0.00906,-0.170536,still,0.430000,session_20260606_121942
485640.0,-0.900391,1.77832,0.367188,0.03917,0.116711,0.198515,-0.15625,-1.847168,0.855957,0.142025,0.049296,-0.166539,still,0.440000,session_20260606_121942
485650.0,-0.921875,1.792969,0.371582,-0.010925,0.062352,0.143357,-0.130371,-1.839355,0.875488,0.148153,0.06102,-0.102055,still,0.450000,session_20260606_121942
485660.0,-0.929687,1.782227,0.368652,-0.019185,-0.001599,0.113779,-0.134766,-1.838379,0.853516,0.113247,0.0429,-0.015988,still,0.460000,session_20260606_121942
485670.0,-0.931152,1.786133,0.364746,0.022116,-0.04823,0.106052,-0.136719,-1.836914,0.882812,0.090864,-0.006129,0.040236,still,0.470000,session_20260606_121942
485680.0,-0.926758,1.79834,0.347656,0.059954,-0.11751,0.111648,-0.138672,-1.84375,0.880371,0.052493,-0.027712,0.036505,still,0.480000,session_20260606_121942
485690.0,-0.919922,1.781738,0.361816,0.108717,-0.144689,0.072744,-0.135254,-1.867676,0.882324,0.047164,-0.055957,-0.014922,still,0.490000,session_20260606_121942
485700.0,-0.929687,1.795898,0.373047,0.149752,-0.154282,0.106319,-0.136719,-1.857422,0.885742,0.057556,-0.053825,-0.120708,still,0.500000,session_20260606_121942
485710.0,-0.908203,1.779297,0.354004,0.151884,-0.100456,0.10019,-0.169922,-1.842285,0.882812,0.080472,-0.078074,-0.181994,still,0.510000,session_20260606_121942
485720.0,-0.918945,1.782227,0.369141,0.148953,-0.070346,0.097525,-0.182129,-1.842773,0.876465,0.088466,-0.104453,-0.196916,still,0.520000,session_20260606_121942
485730.0,-0.915039,1.757324,0.377441,0.146288,-0.032242,0.115112,-0.148926,-1.82666,0.878906,0.10472,-0.099391,-0.173201,still,0.530000,session_20260606_121942
485740.0,-0.910645,1.747559,0.382813,0.133498,-0.022649,0.135363,-0.144043,-1.838379,0.869629,0.090331,-0.062352,-0.166539,still,0.540000,session_20260606_121942
485750.0,-0.877441,1.725586,0.384277,0.12577,-0.005063,0.089531,-0.14209,-1.852539,0.86377,0.093262,-0.061819,-0.160677,still,0.550000,session_20260606_121942
485760.0,-0.895996,1.773438,0.374512,0.098325,-0.01279,0.076741,-0.128418,-1.827637,0.878418,0.071412,-0.0866,-0.152683,still,0.560000,session_20260606_121942
485770.0,-0.893555,1.756836,0.364258,0.099657,0.004796,0.076475,-0.129883,-1.849609,0.877441,0.055691,-0.0437,-0.204643,still,0.570000,session_20260606_121942
485780.0,-0.904297,1.789063,0.365723,0.098058,0.014389,0.093262,-0.149414,-1.84668,0.87793,0.055957,-0.064217,-0.224894,still,0.580000,session_20260606_121942
485790.0,-0.892578,1.788086,0.368164,0.093795,0.019452,0.086067,-0.132812,-1.822266,0.883301,0.090331,-0.072211,-0.231023,still,0.590000,session_20260606_121942
485800.0,-0.882812,1.800781,0.36377,0.088998,0.026646,0.046098,-0.14502,-1.832031,0.876465,0.033041,-0.180129,-0.021051,still,0.600000,session_20260606_121942
485810.0,-0.907715,1.813477,0.361328,0.104187,-0.017054,0.054891,-0.118652,-1.811035,0.885254,0.110315,-0.006928,-0.158279,still,0.610000,session_20260606_121942
485820.0,-0.881348,1.814453,0.342285,0.111381,-0.037571,-0.006129,-0.125488,-1.81543,0.891602,0.062885,0.03011,-0.174266,still,0.620000,session_20260606_121942
485830.0,-0.896484,1.812012,0.358398,0.142557,-0.066349,0.058355,-0.112793,-1.827637,0.897949,0.052493,0.063418,-0.140426,still,0.630000,session_20260606_121942
485840.0,-0.925293,1.766113,0.354004,0.096992,-0.038637,-0.013856,-0.08252,-1.84375,0.894531,0.015988,0.06928,-0.180395,still,0.640000,session_20260606_121942
485850.0,-0.904785,1.725098,0.369629,0.098858,-0.024515,-0.006662,-0.169434,-1.782227,0.910156,-0.012257,-0.028778,-0.043433,still,0.650000,session_20260606_121942
485860.0,-0.902344,1.722168,0.367676,0.114579,0.014922,0.059954,-0.116699,-1.833008,0.88623,0.003464,0.031176,-0.14762,still,0.660000,session_20260606_121942
485870.0,-0.891113,1.789551,0.35791,0.114845,0.083403,0.09113,-0.105469,-1.838867,0.887695,0.013856,0.045832,-0.139093,still,0.670000,session_20260606_121942
485880.0,-0.89502,1.773926,0.361328,0.108184,0.096459,0.059155,-0.114746,-1.848633,0.89502,-0.01279,0.075675,-0.16494,still,0.680000,session_20260606_121942
485890.0,-0.914551,1.773438,0.345215,0.128701,0.092729,0.053825,-0.136719,-1.851563,0.890137,-0.035173,0.007994,-0.090064,still,0.690000,session_20260606_121942
485900.0,-0.905273,1.784668,0.36377,0.116711,0.074876,0.033841,-0.097656,-1.832031,0.880371,-0.040769,-0.059688,-0.043167,still,0.700000,session_20260606_121942
485910.0,-0.896484,1.768555,0.359863,0.107118,0.045565,0.006395,-0.056641,-1.844238,0.895508,-0.053026,-0.022649,-0.028511,still,0.710000,session_20260606_121942
485920.0,-0.919434,1.79541,0.349609,0.079406,0.019985,0.026113,-0.077637,-1.869629,0.88623,-0.048763,0.018119,-0.162009,still,0.720000,session_20260606_121942
485930.0,-0.918945,1.803711,0.35791,0.086334,-0.016521,0.068747,-0.126953,-1.871582,0.875488,-0.081005,-0.210505,-0.009593,still,0.730000,session_20260606_121942
485940.0,-0.918945,1.791016,0.35498,0.074077,-0.024781,0.128968,-0.123047,-1.850586,0.899902,0.001066,-0.183326,-0.11751,still,0.740000,session_20260606_121942
485950.0,-0.884277,1.787109,0.35498,0.046897,-0.046098,0.144156,-0.129395,-1.850098,0.898437,0.037571,-0.235819,-0.134031,still,0.750000,session_20260606_121942
485960.0,-0.888184,1.761719,0.364746,0.053559,-0.039436,0.135096,-0.115234,-1.856934,0.890625,0.094594,-0.255538,-0.150551,still,0.760000,session_20260606_121942
485970.0,-0.892578,1.771973,0.364746,0.031709,-0.053559,0.13483,-0.105957,-1.844238,0.876465,0.160943,-0.238217,-0.221963,still,0.770000,session_20260606_121942
485980.0,-0.875977,1.780762,0.366699,-0.006928,-0.081804,0.112447,-0.108887,-1.841309,0.888672,0.240882,-0.163608,-0.281384,still,0.780000,session_20260606_121942
485990.0,-0.894531,1.759277,0.374023,-0.050095,-0.074343,0.110049,-0.112305,-1.832031,0.904297,0.26513,-0.113513,-0.232622,still,0.790000,session_20260606_121942
486000.0,-0.893555,1.76416,0.37793,-0.044766,-0.054092,0.120974,-0.084473,-1.838867,0.900879,0.241948,-0.066083,-0.196383,still,0.800000,session_20260606_121942
