time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
31557.0,0.882812,2.137207,0.762207,2.785599,1.977152,0.831096,-0.010254,-1.501953,1.46582,-1.548147,0.245145,0.803384,still,0.370000,session_20260606_121208
31567.0,0.833008,2.182617,0.513672,1.55774,1.815942,-0.027979,-0.080566,-1.55957,1.409668,-2.064551,0.233421,0.930753,still,0.380000,session_20260606_121208
31577.0,0.945801,1.68457,0.593262,1.432236,0.616861,-0.969923,-0.17041,-1.551758,1.303711,-2.826101,0.378643,1.21347,still,0.390000,session_20260606_121208
31587.0,0.846191,1.77002,0.609375,0.906239,-0.553709,-0.006395,-0.299316,-1.529297,1.246582,-3.055259,0.226227,1.19615,still,0.400000,session_20260606_121208
31597.0,0.623047,2.021973,0.61084,0.958732,-0.879859,0.304833,-0.212402,-1.540527,1.314941,-2.681678,-0.008527,0.982181,still,0.410000,session_20260606_121208
31607.0,0.506836,1.881836,0.797852,0.560371,-1.107684,-0.022916,-0.141113,-1.522461,1.35791,-2.323819,-0.153482,0.703994,still,0.420000,session_20260606_121208
31617.0,0.520508,1.809082,0.774414,0.627786,-0.921694,0.025847,-0.098145,-1.494141,1.351074,-2.102389,-0.062885,0.370916,still,0.430000,session_20260606_121208
31627.0,0.537109,1.687012,0.89502,0.618193,-0.641642,0.460447,-0.121094,-1.490234,1.345703,-1.857776,0.018919,0.120441,still,0.440000,session_20260606_121208
31637.0,0.609375,1.516113,0.887207,1.709357,-0.144156,0.520668,-0.129395,-1.520508,1.290039,-1.828998,0.120708,0.023182,still,0.450000,session_20260606_121208
31647.0,0.508301,1.693359,0.696289,1.853513,0.353063,0.152683,-0.141113,-1.533203,1.236328,-2.228159,0.266995,0.015988,still,0.460000,session_20260606_121208
31657.0,0.324707,1.793457,0.744629,1.856178,0.215302,-0.285381,-0.17334,-1.611816,1.197754,-2.652634,0.37438,0.003198,still,0.470000,session_20260606_121208
31667.0,0.313965,1.938965,0.70752,1.632349,-0.319222,-0.228092,-0.138184,-1.68457,1.183594,-2.542585,0.277121,0.018652,still,0.480000,session_20260606_121208
31677.0,0.335449,1.859375,0.70459,1.289145,-0.048763,-0.426073,-0.094238,-1.771484,1.174805,-2.219899,0.181194,-0.065017,still,0.490000,session_20260606_121208
31687.0,0.29834,1.889648,0.994141,1.119942,-0.325084,-0.12577,-0.125977,-1.755371,1.145996,-2.077608,0.254472,-0.051694,still,0.500000,session_20260606_121208
31697.0,0.606445,1.365234,0.660645,2.134897,0.383173,0.825767,-0.180664,-1.74707,1.133789,-2.119709,0.405289,-0.111648,still,0.510000,session_20260606_121208
31707.0,0.52002,1.662598,0.740234,2.481832,0.981914,1.053593,-0.132324,-1.813477,1.104004,-1.863639,0.194784,0.062885,still,0.520000,session_20260606_121208
31717.0,0.669434,1.870605,0.526855,2.132233,1.603038,0.528129,-0.127441,-1.861816,1.097656,-1.698965,0.013323,0.347201,still,0.530000,session_20260606_121208
31727.0,0.608887,2.053223,0.544434,1.850582,1.211605,-0.010925,-0.099609,-1.816895,1.098145,-1.440496,-0.324551,0.572894,still,0.540000,session_20260606_121208
31737.0,0.614258,2.210449,0.675293,1.406122,0.402625,-0.526796,-0.054199,-1.760742,1.127441,-1.524698,-0.523599,0.584885,still,0.550000,session_20260606_121208
31747.0,0.563965,2.233887,0.665527,1.185492,-0.379975,-1.260101,-0.097656,-1.68457,1.145508,-1.094095,-0.622989,0.540119,still,0.560000,session_20260606_121208
31757.0,0.591309,2.196289,0.57959,0.426606,-1.09676,-1.819672,-0.135254,-1.758301,1.150879,-0.975253,-0.771142,0.56943,still,0.570000,session_20260606_121208
